species;habitat;venom_stat(threat_to_humans);threat_to_humans;model_predictions
Siganus-virgatus;"Marine; brackish;  reef-associated; depth range 1 - ? m (Ref. 48637), usually 1 - 20 m (Ref. 27115). Tropical; 23°C - 28°C (Ref. 27115); 35°N -   25°S, 77°E -   154°E";venomous;Venomous (Ref. 4537);"Preferred temperature (Ref. 123201): 25.4 - 29.1, mean 28.3 °C (based on 1192 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01905 (0.01036 - 0.03504), b=3.13 (2.97 - 3.29), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.7   ±0.31 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (20 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High."
Scophthalmus-maximus;"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 20 - 70 m (Ref. 6302). Temperate; 70°N -   30°N, 25°W -   42°E";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 5.9 - 11.9, mean 9.4 °C (based on 239 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5645   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00922 - 0.01366), b=3.06 (3.00 - 3.12), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.0 se; based on diet studies.					

				
					
					
						 Generation time: 4.8 (3.8 - 5.8) years. Estimated as median ln(3)/K based on 24 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (K=0.15-0.28; tm=3-5; tmax=26; Fec=5 million).					
								
					
						 Prior r = 0.50, 95% CL = 0.33 - 0.74, Based on 9 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High vulnerability (65 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Cynoglossus-semilaevis;"Marine; freshwater; brackish;  demersal. Subtropical";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Salvelinus-alpinus;"Marine; freshwater; brackish;  benthopelagic; anadromous (Ref. 51243); depth range 0 - 70 m (Ref. 30578), usually 0 - 1 m (Ref. 101587). Temperate; 4°C - 16°C (Ref. 2059); 82°N -   41°N, 180°W -   180°E (Ref. 117475)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 0.1 - 9.7, mean 1.9 °C (based on 316 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00724 (0.00451 - 0.01164), b=3.03 (2.89 - 3.17), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.5 se; based on diet studies.					

				
					
					
						 Generation time: 11.7 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm=7-10; tmax=24; Fec=400).					
								
					
						 Prior r = 0.20, 95% CL = 0.13 - 0.31, Based on 3 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (70 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  High to very high vulnerability (71 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Oryzias-latipes;"Freshwater; brackish;  benthopelagic; pH range: 7.0 - 8.0; dH range: 9 - 19; amphidromous (Ref. 51243). Subtropical; 18°C - 24°C (Ref. 2060); 55°N -   10°N, 85°E -   105°E";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00190 - 0.01207), b=3.13 (2.91 - 3.35), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.4   ±0.45 se; based on food items.					

				
					
					
						 Generation time: 0.3 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tm<1; Fec=40).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100)."
Monopterus-albus;"Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 3 - ? m (Ref. 2686). Tropical; 25°C - 28°C (Ref. 2060); 34°N -   6°S";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00059 (0.00036 - 0.00095), b=3.06 (2.92 - 3.20), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  2.9   ±0.28 se; based on food items.					

				
					
					
						 Generation time: 10.2 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Fec = 1,000).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (65 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Paralichthys-olivaceus;"Marine;  demersal; oceanodromous (Ref. 51243); depth range 10 - 200 m (Ref. 11230). Subtropical; 62°N -   1°N, 99°E -   163°E (Ref. 54698)";nonvenomous;Harmless;"Preferred temperature (Ref. 123201): 8.6 - 25, mean 18.8 °C (based on 241 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00794 (0.00436 - 0.01448), b=3.07 (2.90 - 3.24), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.8 se; based on diet studies.					

				
					
					
						 Generation time: 7.3 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=3; Fec= 3 million).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  High vulnerability (60 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate vulnerability (43 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Very high."
Lepisosteus-oculatus;"Freshwater; brackish;  demersal. Subtropical; 12°C - 20°C (Ref. 2060); 52°N -   24°N, 99°W -   74°W";nonvenomous;Harmless;"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5781   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00355 (0.00151 - 0.00836), b=3.23 (3.02 - 3.44), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.66 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=4; Fec=1,772).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Austrofundulus-limnaeus;"Freshwater;  benthopelagic; non-migratory. Tropical; 22°C - 26°C (Ref. 2060)";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
Sebastiscus-marmoratus;"Marine;  demersal; oceanodromous (Ref. 51243). Tropical";venomous;Venomous (Ref. 57406);"Nutrients  (Ref. 124155):  Calcium = 147 [48, 378] mg/100g ; Iron = 1.3 [0.6, 2.8] mg/100g ; Protein = 17.5 [15.7, 19.3] % ; Omega3 = 0.406 [0.173, 1.105] g/100g ; Selenium = 69.5 [32.9, 184.0] μg/100g ; VitaminA = 34.3 [12.9, 94.7] μg/100g ; Zinc = 1.04 [0.59, 1.59] mg/100g (wet weight);"
Scorpaenopsis-oxycephala;"Marine;  reef-associated; depth range ? - 400 m (Ref. 100719). Tropical; 30°N -   36°S, 24°E -   171°E";venomous;Venomous (Ref. 2334);"Preferred temperature (Ref. 123201): 20.3 - 28.3, mean 26.5 °C (based on 973 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01514 (0.00885 - 0.02590), b=3.11 (2.96 - 3.26), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.63 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 40.3 [19.1, 89.5] mg/100g ; Iron = 0.523 [0.282, 1.489] mg/100g ; Protein = 18.2 [16.3, 20.2] % ; Omega3 = 0.247 [0.109, 0.685] g/100g ; Selenium = 48.3 [25.0, 121.0] μg/100g ; VitaminA = 110 [38, 316] μg/100g ; Zinc = 1.12 [0.77, 1.62] mg/100g (wet weight);"
Hypodytes-rubripinnis;"Marine;  reef-associated. Tropical";venomous;Venomous (Ref. 559);"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5625   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00479 (0.00183 - 0.01252), b=3.13 (2.90 - 3.36), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.2   ±0.3 se; based on size and trophs of closest relatives					

				
					
					
						 Generation time: 2.0 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (K=0.55).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (24 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Synanceia-verrucosa;"Marine;  reef-associated; non-migratory; depth range 0 - 30 m (Ref. 37816). Tropical; 30°N -   30°S, 30°E -   139°W";venomous;Venomous (Ref. 4690);"Preferred temperature (Ref. 123201): 24.9 - 29.3, mean 28.3 °C (based on 3300 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00606 - 0.04338), b=3.06 (2.84 - 3.28), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.77 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (39 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown."
Tetraodon-nigroviridis;"Freshwater; brackish;  demersal; pH range: 8.0 - 8.0; dH range: 9 - 19. Tropical; 24°C - 28°C (Ref. 30491)";nonvenomous;Harmless;"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
